15331
Feature_ID,AvgQuats_0,AvgQuats_1,AvgQuats_2,AvgQuats_3,EulerAngles_0,EulerAngles_1,EulerAngles_2,NumNeighbors,Phases,SurfaceFeatures,Volumes
1,-0.042125821,0.26363415,0.42409599,0.86536986,4.4151626,0.54051286,0.95667094,1,1,0,1
2,-0.042125821,0.26363415,0.42409599,0.86536986,0.22530939,1.7200037,6.1587791,6,1,0,3
3,0,0,0,1,4.7164984,1.5180739,5.210566,2,1,0,1
4,0,0,0,1,5.9398441,2.0556922,3.4136682,1,1,0,1
5,-0.042125821,0.26363415,0.42409599,0.86536986,3.5985923,2.338356,3.0743735,60,1,0,216
6,0,0,0,1,2.397193,1.9415303,4.1454825,3,1,0,3
7,0,0,0,1,2.3060005,2.9980168,2.2094591,11,1,0,12
8,-0.59108347,-0.57835537,0.46059421,0.32245681,6.0976892,1.9473838,4.5486598,3,1,0,1
9,-0.14099185,0.17311415,-0.33339885,0.91596836,5.7449546,0.45032525,1.2363887,2,1,1,1
10,0.82113683,0.034453664,0.3218416,0.47006938,2.5831647,1.9293343,2.4992969,2,1,0,2
11,-0.53492647,-0.057364006,-0.75874096,0.36725357,1.2268349,1.1361098,1.013177,5,1,0,3
12,-0.61035025,0.08907754,0.38715443,0.68530953,5.6240273,1.3293828,5.9138708,18,1,1,40
13,-0.06975504,0.45118651,0.54636836,0.70217276,4.2045274,0.94822013,0.7561565,7,1,1,3
14,0,0,0,1,0.45130107,1.760282,4.2029915,8,1,0,6
15,0,0,0,1,5.6314259,2.0523746,3.772028,21,1,0,38
16,-0.14997591,-0.37621969,0.32778496,0.85353559,0.82479805,0.83398205,4.7250562,38,1,0,132
17,-0.46124473,0.70853782,-0.47464401,0.24482769,0.1008466,2.0147851,2.08831,12,1,1,26
18,-0.042125821,0.26363415,0.42409599,0.86536986,1.9911096,1.9957672,5.2823677,6,1,0,2
19,0,0,0,1,0.85332829,0.90363467,1.9986088,8,1,0,7
20,0.35991773,-0.56338435,0.67551589,0.31102338,0.99998474,1.4644816,3.0045846,1,1,1,1
