14685
Feature_ID,AvgQuats_0,AvgQuats_1,AvgQuats_2,AvgQuats_3,EulerAngles_0,EulerAngles_1,EulerAngles_2,NumNeighbors,Phases,SurfaceFeatures,Volumes
1,0,0,0,1,4.5254779,1.561414,3.063108,2,1,0,3
2,0.5419634,-0.17773695,0.041224904,0.82035708,2.3679721,0.48963165,0.62860054,1,1,0,1
3,0,0,0,1,0.052306078,1.1014665,3.9691601,15,1,0,22
4,0.90404648,0.0187093,-0.21552077,0.36864716,3.6913233,2.2591934,3.6499391,2,1,0,1
5,-0.09909644,-0.23745722,0.91765076,0.30283833,6.2065954,0.5204652,3.8557038,14,1,1,35
6,0,0,0,1,5.3735566,1.0850681,2.1247582,7,1,0,4
7,-0.21134458,0.17193672,-0.54980892,0.78960836,6.2084866,0.55187601,1.2911834,4,1,0,2
8,0,0,0,1,3.367542,1.9882014,4.1229057,4,1,0,2
9,-0.55021513,-0.21314174,-0.19220164,0.78415078,0.60994834,1.2622564,6.1539755,5,1,0,2
10,0,0,0,1,0.36959592,0.34601218,4.8577228,6,1,0,10
11,0.27909541,0.75265753,-0.34414181,0.48701003,4.9724636,1.8637437,2.5410612,38,1,0,112
12,-0.1529703,-0.75851667,-0.26995865,0.57304001,1.8120558,1.7695982,5.3516507,36,1,0,82
13,0.14800137,0.54851216,0.66980058,0.47811833,3.4979877,1.2084599,0.88348943,2,1,0,1
14,0.65116847,-0.096105888,-0.613392,0.43645567,3.9474249,1.4369102,4.240489,3,1,0,4
15,-0.15709685,-0.22124353,-0.046234988,0.961371,1.0014043,0.5495804,5.3778925,5,1,0,2
16,-0.89471519,-0.076389998,-0.021369627,0.43953681,0.13375287,2.2302706,6.246593,6,1,1,6
17,0.68367141,-0.37125364,-0.031282078,0.62752336,2.6939259,1.7828538,3.6888773,5,1,0,20
18,-0.71836287,0.65866864,-0.19347125,0.11260218,0.30163461,2.6900597,1.7857852,7,1,0,4
19,-0.0080424789,-0.93932426,-0.20269658,0.27662116,2.1946096,2.4415112,5.3533258,16,1,0,20
20,0.5419634,-0.17773695,0.041224904,0.82035708,5.5109639,1.1885819,2.6034698,14,1,0,18
21,-0.19956115,0.63662231,-0.19776863,0.71817476,5.2848725,1.4607998,1.5357455,13,1,0,16
22,-0.49111181,0.68065643,-0.17568594,0.51444191,5.6665063,1.9921192,1.2748582,25,1,0,55
23,0.3245447,0.88723588,0.15460499,0.28910291,3.8706355,2.4735467,1.4303917,6,1,1,5
24,0.46818554,0.22016113,-0.79705,0.3115167,4.7793665,1.0875427,3.9002461,9,1,1,12
25,0.5419634,-0.17773695,0.041224904,0.82035708,3.5458636,2.3402245,3.4921975,29,1,0,70
26,-0.23933713,-0.61846799,-0.51065904,0.54721326,1.9524184,1.4500732,5.8324819,5,1,0,4
27,0.78882998,-0.086847737,0.60842031,0.0054160096,1.4700426,1.8333946,1.6893531,12,1,0,31
28,0,0,0,1,5.6578279,1.2129819,2.1685581,1,1,0,1
29,0.5419634,-0.17773695,0.041224904,0.82035708,4.4436412,1.4848888,4.0309262,22,1,0,45
30,0,0,0,1,5.2228527,2.202966,0.034483586,1,1,0,1
31,0.10318206,0.40694052,0.29929611,0.85684001,4.1280136,0.86648947,1.4830656,8,1,0,8
32,0.5419634,-0.17773695,0.041224904,0.82035708,1.9487075,2.4641542,5.1846147,2,1,0,1
33,-0.29885018,0.67439133,0.45469806,0.4991338,4.3906789,1.6591414,0.41481611,5,1,0,2
34,-0.43027675,0.44168913,0.65061283,0.44325557,4.5119615,1.3288989,6.1089325,8,1,0,31
35,0.39029688,-0.82660037,-0.13760141,0.38140008,2.3581798,2.3066223,4.617497,2,1,0,2
36,0.56676489,-0.7242139,-0.35601482,0.16596796,3.3693995,2.3342438,5.182919,75,1,1,396
37,0.5419634,-0.17773695,0.041224904,0.82035708,4.3183675,1.3807638,4.9365087,17,1,0,11
38,0,0,0,1,4.5906343,2.0030842,4.6524491,9,1,0,4
39,0.087670825,0.059371818,-0.70538217,0.70087439,4.5254645,0.21216348,3.3349278,20,1,0,42
40,-0.51089114,0.43084487,-0.72959447,0.14510296,0.67387301,1.4638667,2.0750797,31,1,1,94
41,0,0,0,1,4.1842217,1.6299082,4.5236835,9,1,0,9
42,0.5238837,0.46995184,-0.43145975,0.56438774,3.5083787,1.0437669,3.6166441,2,1,0,1
43,0,0,0,1,3.2958407,2.3151569,5.5885096,13,1,0,19
44,-0.63392603,-0.77130729,0.030697213,0.047754612,0.31154734,3.0279918,4.8290277,7,1,1,11
45,0.36080176,0.2772882,-0.58695608,0.66963863,4.5165439,0.94484723,3.2060292,5,1,0,5
46,0,0,0,1,4.4097733,1.4620583,0.34442136,2,1,0,1
47,-0.27677092,0.19885452,-0.86551487,0.36706769,0.54666382,0.69553733,1.7927071,9,1,0,9
48,0.27884075,0.76527435,0.54661763,0.19445349,3.1339552,1.9037056,0.69119495,1,1,0,1
49,0,0,0,1,5.156806,2.3246222,5.6471162,11,1,0,7
50,-0.062258366,0.035298582,-0.80341637,0.59110075,0.42071009,0.14326009,1.4522662,10,1,1,15
51,-0.042614859,-0.97806531,0.16439101,0.12061433,0.58944678,2.7309277,3.8181255,1,1,1,1
52,0.5419634,-0.17773695,0.041224904,0.82035708,2.2744193,1.3892108,4.0967345,8,1,0,6
53,-0.61936265,-0.6569497,0.42137116,0.085165933,5.7266579,2.252847,4.0969791,19,1,1,51
54,0.12569675,-0.46517757,-0.81132567,0.33099973,3.018141,1.0055542,5.6319141,3,1,0,2
55,-0.78146195,-0.49070132,-0.29019505,0.25360632,1.4132818,2.3503208,0.29187855,1,1,0,2
56,-0.29727298,0.85060376,0.292229,0.32047516,4.3092747,2.2443862,0.49525073,32,1,1,108
57,0.33451,-0.69257665,0.60457587,0.20719233,0.7801131,1.7549542,3.0218055,28,1,1,138
58,0,0,0,1,1.0269047,2.2901731,4.0923915,1,1,0,1
59,0,0,0,1,3.8803511,2.133884,6.2081847,12,1,0,11
60,-0.085604161,0.57059795,-0.034340657,0.81603348,4.9033613,1.2300615,1.4639393,12,1,0,8
61,0.5419634,-0.17773695,0.041224904,0.82035708,4.0617242,1.0278432,1.4578668,15,1,0,14
62,0,0,0,1,0.17207295,2.4092422,2.6534152,7,1,0,5
63,0.46581253,-0.49412668,-0.036727525,0.73314983,2.376761,1.4930028,4.0065317,6,1,0,23
64,-0.57217079,-0.50927824,-0.067431763,0.63930368,0.83239615,1.7451661,5.6609659,7,1,1,4
65,0.044538643,0.91567922,0.38673562,0.099916957,3.3458221,2.319793,0.30143273,46,1,0,119
66,0.5419634,-0.17773695,0.041224904,0.82035708,2.8759782,0.27353415,5.0374951,67,1,0,256
67,-0.076631062,0.81239438,0.4526099,0.35956547,3.9069753,1.908916,0.57728428,20,1,0,31
68,-0.015681032,-0.81528801,-0.49922764,0.29296994,2.5916698,1.9069736,5.7717252,2,1,1,3
69,-0.61693937,0.044315007,0.071389578,0.78251225,6.1204987,1.3337383,6.2639132,1,1,0,1
70,0.5419634,-0.17773695,0.041224904,0.82035708,1.6198239,0.6236828,2.2930605,4,1,0,2
71,-0.83989489,0.44061559,-0.13869381,0.28495347,6.2530165,2.4966447,0.93611026,15,1,1,47
72,0,0,0,1,5.0527511,0.19323525,5.3968668,1,1,0,1
73,0.19591352,0.30556116,-0.73209321,0.57644582,5.0460429,0.74291402,3.0447214,1,1,1,1
74,0.5419634,-0.17773695,0.041224904,0.82035708,5.28374,1.92975,6.0339885,2,1,0,1
75,0,0,0,1,3.5483949,1.0846444,6.1757851,11,1,0,6
76,0.5419634,-0.17773695,0.041224904,0.82035708,0.55406994,0.78190619,5.8641152,25,1,0,48
77,0.24682605,-0.035414279,-0.049681194,0.96713728,3.0504107,0.50402564,3.335423,6,1,0,2
78,-0.45387191,-0.27499104,0.74568647,0.40290421,5.7524953,1.1188021,4.6630344,4,1,1,2
79,-0.69783688,0.16884765,-0.17449209,0.67384475,0.015988192,1.6017729,0.49078041,2,1,1,1
80,0.5419634,-0.17773695,0.041224904,0.82035708,0.050620124,1.2044529,5.8028884,8,1,0,5
81,0,0,0,1,3.2611904,1.2137804,4.3583994,1,1,0,1
82,-0.83488202,0.29306304,0.23379637,0.40302035,5.4199324,2.1722331,6.0951047,1,1,0,1
83,0,0,0,1,5.4442744,1.5799732,5.0678368,10,1,0,18
84,0.5419634,-0.17773695,0.041224904,0.82035708,0.53276974,1.4532045,1.1598933,4,1,0,2
85,0,0,0,1,3.7914226,0.72725272,1.9488199,6,1,0,3
86,0,0,0,1,5.9304395,0.85786688,6.156106,55,1,0,262
87,0.38155064,0.10854176,0.63524735,0.6626451,2.6544547,0.81581432,2.100147,8,1,0,6
88,0.040340345,-0.70238322,0.099241182,0.70369148,1.4880615,1.5607351,4.5149131,13,1,1,10
89,0.76571178,-0.013486365,0.16608305,0.62122452,2.8627434,1.744664,2.8979654,2,1,0,1
90,0.43863538,-0.29078287,-0.84210187,0.11793506,3.9878371,1.1084061,5.1586542,10,1,0,24
91,0,0,0,1,5.2957625,2.0522151,1.5319915,6,1,0,3
92,-0.41584569,0.52583152,0.35361773,0.65232509,4.8847675,1.469476,0.40492067,8,1,1,29
93,-0.64903778,-0.021016443,0.70552891,0.28379071,5.127193,1.4135324,5.0624537,1,1,0,1
94,0.5419634,-0.17773695,0.041224904,0.82035708,1.8378391,0.29518551,0.12576246,7,1,0,4
95,0.5419634,-0.17773695,0.041224904,0.82035708,5.0819416,1.2969842,0.84818035,6,1,0,3
96,0,0,0,1,4.6309748,0.77971268,1.6301718,7,1,0,4
97,0.29821363,0.88753885,-0.30959302,0.16581793,5.4673162,2.4238818,2.9740219,11,1,1,22
98,0.44089434,-0.45103088,-0.4425801,0.63742149,2.9517398,1.3649796,4.5452647,1,1,0,1
99,0.5419634,-0.17773695,0.041224904,0.82035708,0.53165704,1.8852131,2.8536766,1,1,0,1
100,0,0,0,1,4.9399238,1.3062626,6.1280541,4,1,0,1
101,0.50826973,-0.58677834,-0.088856757,0.62406534,2.4260557,1.7775602,4.1399956,10,1,1,23
102,0.5419634,-0.17773695,0.041224904,0.82035708,0.39198142,1.0936537,3.6160114,3,1,0,2
103,0.5419634,-0.17773695,0.041224904,0.82035708,2.0425339,0.8500281,1.8371608,11,1,0,13
104,0.23641756,-0.27095395,-0.26336524,0.89517009,2.5743637,0.73566991,4.2810888,6,1,1,3
105,-0.045282688,0.81536186,0.16599366,0.55279344,4.4761539,1.9110551,1.2236013,5,1,1,7
106,0.5419634,-0.17773695,0.041224904,0.82035708,4.6099634,0.66317225,5.7419481,5,1,0,3
107,-0.89387155,0.34901127,0.24425405,0.13973102,4.8597746,2.5710914,5.6042662,5,1,0,3
108,0.72828323,0.25227794,0.28514919,0.56978011,3.0110462,1.7600044,2.3441164,3,1,1,1
109,0.5419634,-0.17773695,0.041224904,0.82035708,5.6388116,0.99923486,0.55705673,13,1,0,27
110,-0.61323184,-0.27722704,-0.44725329,0.58911496,1.0739386,1.4764727,0.22478159,2,1,1,6
111,0.5419634,-0.17773695,0.041224904,0.82035708,1.2197561,2.030477,5.5035982,1,1,0,1
112,0,0,0,1,5.9165306,1.2473506,6.1620121,46,1,0,152
113,-0.19442867,0.33361492,0.22527973,0.89450973,2.2744346,1.2895738,5.8174891,3,1,0,1
114,0.5419634,-0.17773695,0.041224904,0.82035708,0.090551078,0.91753983,6.1464467,4,1,0,1
115,0,0,0,1,5.3511524,2.1198716,4.2380877,15,1,0,14
116,-0.37864804,0.28027236,-0.26861843,0.8401888,5.9554324,0.9810549,0.9466362,14,1,0,34
117,0.15439965,-0.27007297,-0.43146595,0.84679306,2.5613861,0.63268507,4.6642833,13,1,1,19
118,0,0,0,1,4.0451546,2.0011151,5.3819699,5,1,0,2
119,-0.71120524,0.10234411,0.55874544,0.41414523,5.2073164,1.6033766,5.4931588,9,1,0,6
120,0,0,0,1,0.67459631,0.66331857,2.5496829,2,1,0,1
121,0.5419634,-0.17773695,0.041224904,0.82035708,0.65935242,1.0583355,0.56994069,16,1,0,20
