14646
Feature_ID,AvgQuats_0,AvgQuats_1,AvgQuats_2,AvgQuats_3,EulerAngles_0,EulerAngles_1,EulerAngles_2,NumNeighbors,Phases,SurfaceFeatures,Volumes
1,0,0,0,1,3.7528841,1.2868042,0.58519799,21,1,0,61
2,0,0,0,1,5.6739283,2.3978717,5.4764733,12,1,0,15
3,0.27739501,0.66618532,0.65574908,0.2219062,3.0733392,1.6123099,0.72086257,3,1,0,2
4,0,0,0,1,2.7794652,1.2455927,2.8661234,10,1,0,3
5,0,0,0,1,5.4145489,0.18463342,2.4670947,1,1,0,1
6,0.11595315,-0.67870265,-0.33768326,0.64178467,2.2243659,1.5189379,5.0275354,13,1,0,9
7,-0.3203997,0.86093599,0.25920483,0.29823843,4.3531713,2.3291585,0.49903437,3,1,0,1
8,-0.295818,0.45876706,0.7698344,0.33072552,4.1200771,1.1548574,6.1162324,7,1,1,6
9,0.85431719,0.12905067,0.49215785,0.10615381,1.2187406,2.1426435,4.244576,12,1,0,10
10,-0.15382135,0.92637098,-0.12037589,0.32200211,5.2346845,2.4397418,1.7639999,3,1,1,1
11,0.29997119,-0.18581027,0.19894369,0.91428292,2.3727553,0.72124583,3.4819188,8,1,0,7
12,-0.0084481258,-0.7842952,-0.40513933,0.4697572,2.2716994,1.8032651,5.4348345,2,1,0,1
13,0.85431719,0.12905067,0.49215785,0.10615381,1.3652138,2.8008733,1.1197935,3,1,0,2
14,0,0,0,1,5.7596626,1.6596932,4.2944317,1,1,0,1
15,0,0,0,1,4.0003729,2.4195881,3.3776584,5,1,0,4
16,-0.62332839,-0.12267771,-0.14981265,0.75760686,0.38955304,1.3767571,0.00089886854,7,1,1,30
17,0.52118856,0.7345531,0.42985338,0.063406378,2.6709492,2.2426162,0.76354533,32,1,1,108
18,0,0,0,1,0.89290148,1.5376366,2.1940303,8,1,0,7
19,0.50309402,-0.051612891,0.41033742,0.75885159,2.5436573,1.0604664,2.7481239,10,1,0,12
20,0,0,0,1,0.85537398,1.4207581,2.3409934,16,1,0,35
21,0.44951239,-0.44399065,-0.12141859,0.76555109,2.5196669,1.3677828,4.0781035,6,1,0,4
22,-0.48320195,0.79223818,-0.29180863,0.23178083,6.1596174,2.3778474,1.9226612,1,1,0,1
23,0.85431719,0.12905067,0.49215785,0.10615381,3.7074111,2.9047565,1.4445834,3,1,0,2
24,0.90220386,0.38077027,0.031169016,0.20017655,3.3864901,2.7335913,2.5877607,5,1,0,2
25,0,0,0,1,0.010660409,1.5141774,1.2918553,5,1,0,3
26,-0.083316334,-0.5897544,-0.73731923,0.31876075,2.5931909,1.2760509,6.0154719,27,1,0,144
27,-0.29076016,0.77330357,-0.56338209,0.0077953753,0.34580904,1.9445148,2.7681119,2,1,0,1
