13038
Feature_ID,AvgQuats_0,AvgQuats_1,AvgQuats_2,AvgQuats_3,EulerAngles_0,EulerAngles_1,EulerAngles_2,NumNeighbors,Phases,SurfaceFeatures,Volumes
1,-0.34410998,0.18258807,-0.82591277,0.40757579,0.83159816,1.1296976,2.1384561,1,1,0,1
2,-0.34410998,0.18258807,-0.82591277,0.40757579,2.3040578,1.4063152,2.512223,2,1,0,2
3,-0.63708586,-0.12058312,0.71673369,0.25665963,5.2433181,1.4109539,4.8691978,25,1,1,64
4,-0.34410998,0.18258807,-0.82591277,0.40757579,1.7375278,0.14592864,1.632336,46,1,0,231
5,-0.34410998,0.18258807,-0.82591277,0.40757579,1.8976222,1.5387276,5.8060765,5,1,0,10
6,-0.14212516,0.11365344,-0.80505335,0.56459934,0.28464499,0.3659991,1.6337261,6,1,0,5
7,0.10721792,-0.13559148,0.98097157,0.08839687,0.75893927,0.3474662,2.562391,6,1,1,7
8,-0.34410998,0.18258807,-0.82591277,0.40757579,3.7560251,1.5087811,2.9795771,21,1,0,38
9,-0.42502087,0.32540837,-0.84156466,0.072357886,0.62886959,0.81560791,4.9944,3,1,0,1
10,0.60330284,-0.27360538,-0.35760444,0.65824383,3.2134836,1.4481574,4.0650258,11,1,0,9
11,-0.34410998,0.18258807,-0.82591277,0.40757579,3.3645856,0.75740582,1.9236859,23,1,0,43
12,-0.42502087,0.32540837,-0.84156466,0.072357886,5.3702283,0.6434173,0.34816357,2,1,0,1
13,0.77882868,0.045357279,0.28734529,0.55569887,2.7225401,1.7898058,2.6061959,16,1,1,94
14,-0.24022759,0.86403865,0.25878036,0.35883227,4.3587732,2.2250211,0.67482102,7,1,1,18
15,-0.34410998,0.18258807,-0.82591277,0.40757579,1.0687933,1.5606738,4.0260792,17,1,0,41
16,-0.34410998,0.18258807,-0.82591277,0.40757579,0.73813081,1.8083321,5.7891545,3,1,0,3
17,-0.42502087,0.32540837,-0.84156466,0.072357886,6.2499886,0.40084955,6.2037401,2,1,0,2
18,-0.34410998,0.18258807,-0.82591277,0.40757579,1.5785884,1.3775537,2.4181156,1,1,0,1
19,0.88627136,-0.22061121,-0.36309946,0.18442528,3.9984636,2.302707,4.4863887,2,1,1,7
20,-0.34410998,0.18258807,-0.82591277,0.40757579,1.8745111,0.93645966,1.910484,2,1,0,1
21,-0.42502087,0.32540837,-0.84156466,0.072357886,3.2928109,0.76082402,3.5975869,5,1,0,5
22,-0.34410998,0.18258807,-0.82591277,0.40757579,5.3840351,1.7892419,0.31643659,1,1,0,1
23,-0.42502087,0.32540837,-0.84156466,0.072357886,4.5707192,1.0516405,2.2718859,4,1,0,2
24,-0.34410998,0.18258807,-0.82591277,0.40757579,5.5100145,1.1135976,3.8253419,7,1,0,5
25,-0.42502087,0.32540837,-0.84156466,0.072357886,5.0009251,2.5149202,4.0121059,1,1,0,1
26,-0.81507492,-0.068700872,0.096743517,0.56707472,6.1982999,1.9157296,6.0301218,1,1,0,1
27,0.029352499,0.30336991,0.9239381,0.23117837,3.2903142,0.61942869,0.34163067,4,1,1,1
28,-0.42502087,0.32540837,-0.84156466,0.072357886,4.3834367,0.077289648,0.44848651,4,1,0,4
29,0,0,0,1,3.5638847,1.1173636,2.6995447,7,1,0,6
30,-0.34410998,0.18258807,-0.82591277,0.40757579,5.8863926,1.4606876,2.1881857,2,1,0,1
31,0.48527858,0.69802701,0.4599486,0.25634032,3.0425344,2.0324998,1.1159558,7,1,1,22
