13653
Feature_ID,AvgQuats_0,AvgQuats_1,AvgQuats_2,AvgQuats_3,EulerAngles_0,EulerAngles_1,EulerAngles_2,NumNeighbors,Phases,SurfaceFeatures,Volumes
1,0,0,0,1,3.8394439,1.0169637,1.8271713,7,1,0,4
2,0.46233448,0.78360653,-0.32570297,0.25714841,5.0818281,2.2857528,3.0063162,9,1,1,50
3,-0.30441949,-0.026565958,-0.26008004,0.9159593,5.0797482,1.6222992,6.2118263,1,1,0,1
4,0,0,0,1,2.1486514,1.5410919,3.4134684,2,1,0,1
5,0.69364744,-0.69531369,0.12708999,0.1387092,4.3193011,2.3717043,0.75957805,2,1,0,2
6,0.29886416,-0.054426283,0.93748635,0.16981563,1.5698562,0.61731434,1.9301289,8,1,1,5
7,-0.3756673,0.5716399,0.57338643,0.45092115,4.3893991,1.5065484,0.085001618,5,1,1,3
8,-0.17481066,-0.43166438,0.25295213,0.84801084,0.89612752,0.96889073,4.8072853,13,1,1,38
9,0,0,0,1,3.1897969,1.7887014,2.0584376,5,1,0,1
10,-0.30441949,-0.026565958,-0.26008004,0.9159593,3.1114626,1.5642869,1.3113166,11,1,0,12
11,-0.077272274,-0.39024803,0.5192405,0.75638932,0.77372736,0.81828934,4.3062792,8,1,1,18
12,-0.30441949,-0.026565958,-0.26008004,0.9159593,4.6009898,1.8121762,2.5437186,5,1,0,4
13,-0.30441949,-0.026565958,-0.26008004,0.9159593,1.6397128,2.5554059,2.6855783,7,1,0,11
14,0,0,0,1,1.0068278,1.3414085,3.1902525,1,1,0,1
15,0.46265578,-0.14852853,-0.72073048,0.49440521,3.8004949,1.0148141,4.4217772,2,1,0,1
16,-0.13948189,0.88599408,0.037574485,0.44062158,4.7834668,2.2254462,1.3295777,23,1,1,71
17,-0.30441949,-0.026565958,-0.26008004,0.9159593,5.0462785,1.5264934,2.3358369,23,1,0,54
18,0.12446435,-0.062978037,0.45639333,0.87877619,2.1941543,0.27989379,3.1310146,8,1,1,7
19,-0.30441949,-0.026565958,-0.26008004,0.9159593,4.8768206,0.80511832,4.4615407,2,1,0,1
20,0,0,0,1,5.4773149,1.8053787,2.6061699,4,1,0,2
21,-0.15067469,-0.83902639,-0.25844139,0.45446652,1.9101716,2.0413013,5.4071417,14,1,1,31
22,0.2605283,0.41127801,0.26503694,0.83230448,3.7759724,2.5343363,1.5728141,17,1,0,35
23,0,0,0,1,4.0210867,1.3221586,3.5911617,2,1,0,1
24,0,0,0,1,4.7196555,0.61792624,0.96776712,12,1,0,12
25,-0.27607906,-0.58365005,0.7288782,0.22774866,6.1442051,1.4037547,3.8862782,2,1,0,1
26,-0.30441949,-0.026565958,-0.26008004,0.9159593,0.12662949,2.3373165,5.5131893,1,1,0,1
27,-0.30441949,-0.026565958,-0.26008004,0.9159593,1.9289769,2.3339636,2.4587529,5,1,0,3
28,-0.30441949,-0.026565958,-0.26008004,0.9159593,3.5849049,0.14523757,2.5532305,2,1,0,1
29,0.8843835,-0.42182195,0.14171992,0.14088136,1.9081749,2.7392235,2.7982793,22,1,0,37
30,-0.30441949,-0.026565958,-0.26008004,0.9159593,0.82344371,2.7372816,6.2420831,3,1,0,1
31,-0.30441949,-0.026565958,-0.26008004,0.9159593,5.9415312,1.4831169,6.2068119,1,1,0,1
32,-0.30441949,-0.026565958,-0.26008004,0.9159593,2.5396414,1.2965622,2.4084053,9,1,0,6
33,-0.061557282,-0.60283977,0.74387616,0.28185675,0.26042852,1.3019807,3.60554,1,1,0,1
34,0.047726307,-0.010120376,0.4656764,0.88360918,2.4476113,0.097613797,2.8655214,3,1,0,1
35,-0.37550259,-0.22790438,-0.0039338171,0.89835507,0.54987973,0.90953249,5.7420635,5,1,0,2
36,-0.62713397,0.60378885,0.48485214,0.084026247,4.1175528,2.1126394,5.6504226,4,1,1,4
37,-0.30441949,-0.026565958,-0.26008004,0.9159593,5.7249231,2.1302156,3.8329151,12,1,0,18
38,0.37823382,-0.55405712,-0.73882121,0.064055949,3.6541038,1.4707096,5.5977068,24,1,1,68
39,-0.30441949,-0.026565958,-0.26008004,0.9159593,4.3764133,0.87742037,6.2775397,9,1,0,12
40,0,0,0,1,0.1536994,1.1396166,2.4604905,15,1,0,19
41,-0.10430707,-0.87352538,0.27915522,0.38489699,0.82446283,2.1505923,4.2037487,3,1,0,1
42,0.34667537,-0.74197352,0.47993836,0.31456435,1.0172738,1.9192203,3.2846801,1,1,1,3
43,-0.30441949,-0.026565958,-0.26008004,0.9159593,4.6967363,1.6432085,2.1249695,12,1,0,35
44,-0.30441949,-0.026565958,-0.26008004,0.9159593,1.2623123,0.88498819,6.2298136,13,1,0,12
45,0.18136679,-0.14135866,0.3333312,0.91433811,2.1299481,0.46404892,3.4540639,7,1,0,5
46,-0.30441949,-0.026565958,-0.26008004,0.9159593,0.71391171,1.5465963,0.71563011,4,1,0,1
47,-0.55453509,0.42172131,-0.29903325,0.65208977,6.0629644,1.5415082,1.0801475,2,1,0,1
48,0,0,0,1,0.57609564,1.4473069,5.7643952,1,1,0,1
49,-0.26829195,0.15391642,0.62608296,0.7157858,5.0436878,0.62892848,6.0853863,8,1,0,4
50,0,0,0,1,0.34848788,1.1192566,4.9633632,20,1,0,44
51,0.49420246,0.22817655,0.76150656,0.35186237,2.4361811,1.1511924,1.5710883,31,1,1,108
52,0.087241486,0.25669152,0.12091149,0.95492339,1.9201059,0.90274024,3.7309668,32,1,0,92
53,0.91267353,0.35509682,0.1943215,0.056325015,2.2239711,2.7341402,1.4818684,16,1,0,12
54,-0.30441949,-0.026565958,-0.26008004,0.9159593,4.5470228,2.7417147,3.0640454,7,1,0,4
55,-0.30441949,-0.026565958,-0.26008004,0.9159593,3.6389227,1.7963594,1.5527117,12,1,0,11
