14511
Feature_ID,AvgQuats_0,AvgQuats_1,AvgQuats_2,AvgQuats_3,EulerAngles_0,EulerAngles_1,EulerAngles_2,NumNeighbors,Phases,SurfaceFeatures,Volumes
1,0,0,0,1,4.4191775,2.1901786,1.5608575,14,1,0,30
2,-0.0097514102,0.4511911,-0.041697484,0.89139938,4.7807417,0.93643522,1.5959305,7,1,1,21
3,0,0,0,1,0.3823047,0.47447681,0.439982,8,1,0,6
4,0,0,0,1,5.615447,0.97242314,2.3101418,8,1,0,4
5,0.8916955,-0.16111214,0.20145077,0.37194031,2.4664528,2.2681038,2.8239572,14,1,0,24
6,0.74096388,-0.60925984,0.072329849,0.27302641,2.1944592,2.5689094,3.570786,1,1,1,1
7,0,0,0,1,6.0390544,0.9204126,2.1521876,3,1,0,6
8,0.023633135,-0.56050867,0.468979,0.68215108,1.0106475,1.1912028,4.0679626,19,1,1,37
9,0,0,0,1,0.32711002,1.5338113,5.7716103,6,1,0,4
10,0.16534138,-0.7448107,0.0026953553,0.64646113,1.7850755,1.7357043,4.4897709,12,1,1,31
11,0,0,0,1,5.5508299,0.6669755,2.1137638,10,1,0,18
12,-0.34750074,0.054484379,-0.61906648,0.70216197,0.56706524,0.71887147,0.87811142,9,1,1,8
13,0.62146497,0.70693618,0.33554667,0.037827313,2.5327067,2.4527073,0.83340478,7,1,1,7
14,0,0,0,1,5.7920809,0.25053668,1.0157294,46,1,0,283
15,0.066300854,-0.20675823,0.030544315,0.97566509,1.8498098,0.43774354,4.3707838,16,1,1,44
16,0,0,0,1,2.1124191,2.1014986,5.845376,2,1,0,1
17,0,0,0,1,2.4514558,2.6967444,0.77118623,6,1,0,5
18,0.29228687,0.076154612,0.84313112,0.44485813,2.3111808,0.6136741,1.8014191,9,1,1,7
19,0.68648469,0.18649469,-0.31877312,0.62637228,3.115479,1.0230765,2.1988966,9,1,0,14
20,0.10606345,0.23829062,-0.75835955,0.59737676,5.1972032,0.52776212,2.8931558,42,1,1,132
21,0,0,0,1,0.09572228,2.5839877,5.8051286,1,1,0,1
22,0.68648469,0.18649469,-0.31877312,0.62637228,0.21298742,0.96394044,1.1069067,12,1,0,14
23,0.86790371,-0.38359758,-0.22211486,0.22418973,3.5061758,2.4994392,4.3385077,2,1,1,1
24,0.68648469,0.18649469,-0.31877312,0.62637228,1.0252275,0.8901878,4.2899933,8,1,0,8
25,-0.53389072,-0.39154786,0.72904754,0.17361069,5.5789514,1.4471798,4.3133855,6,1,1,12
