15391
Feature_ID,AvgQuats_0,AvgQuats_1,AvgQuats_2,AvgQuats_3,EulerAngles_0,EulerAngles_1,EulerAngles_2,NumNeighbors,Phases,SurfaceFeatures,Volumes
1,0.21783771,0.67814463,0.60149539,0.36175942,3.3722508,1.5854638,0.85228753,12,1,1,19
2,0,0,0,1,1.5826907,1.1090765,4.6339407,8,1,0,6
3,0.68514365,-0.70646209,-0.0022803978,0.17743808,0.68306935,2.2267358,0.10540875,12,1,0,16
4,-0.74974096,-0.068134412,-0.33579797,0.56611478,5.4609642,2.1773882,6.1482058,2,1,0,1
5,0.68514365,-0.70646209,-0.0022803978,0.17743808,0.81761938,1.8629948,2.7021742,5,1,0,2
6,0.14812726,0.26570758,0.37040064,0.87764525,3.8044593,0.61821276,1.6800058,3,1,0,1
7,-0.65899575,-0.080795348,-0.24502103,0.70651358,0.4558188,1.4521245,0.21182896,21,1,0,42
8,0.68514365,-0.70646209,-0.0022803978,0.17743808,3.9385312,1.3890048,3.200748,17,1,0,33
9,0.18876354,0.4701471,0.85850942,0.079319939,2.8519258,1.0625339,0.47392884,4,1,0,2
10,0,0,0,1,5.1836319,1.8737121,0.01910986,7,1,0,4
11,0.16510417,-0.8614561,-0.35408145,0.32443854,2.589215,2.1397276,5.3520861,3,1,1,2
12,0.41204897,-0.68683618,-0.29687861,0.51993728,2.3650537,0.56855953,0.40733081,6,1,0,2
13,0.10157724,0.71817768,0.55614609,0.40571472,3.6313457,1.6230142,0.77076411,3,1,0,2
14,-0.76096821,0.54310936,0.23685949,0.264305,4.9326286,2.4159617,6.1723628,36,1,0,65
15,0.47210869,-0.69444591,0.13959952,0.52475733,1.9078553,1.9935611,3.8553202,21,1,0,79
16,0.68514365,-0.70646209,-0.0022803978,0.17743808,0.56649816,0.90592951,4.8187246,3,1,0,1
17,-0.34491685,0.50520861,-0.51904935,0.59697938,6.0271077,1.3164701,1.687444,13,1,1,18
18,0.68514365,-0.70646209,-0.0022803978,0.17743808,0.35039008,2.5121098,5.6878939,4,1,0,2
19,-0.44847056,-0.32455119,-0.83278811,0.0021749088,2.1946301,1.1733322,0.94173938,12,1,0,12
20,0.65649277,-0.23298983,0.59366339,0.40286067,1.8259817,1.541326,2.50805,1,1,1,1
21,0.68514365,-0.70646209,-0.0022803978,0.17743808,5.0611172,1.1613853,1.4405081,7,1,0,5
22,0.68514365,-0.70646209,-0.0022803978,0.17743808,3.7983861,0.29480153,3.0521348,9,1,0,4
23,0,0,0,1,1.3944141,0.76630062,1.3669903,9,1,0,7
24,0,0,0,1,4.2879186,1.1868818,5.0220933,4,1,0,1
25,-0.82366455,-0.56124675,0.07478226,0.031406939,5.7081332,2.9791949,4.5118637,2,1,0,1
26,0.68514365,-0.70646209,-0.0022803978,0.17743808,0.53445399,2.7808564,3.9295526,4,1,0,2
27,0.028316589,0.87841815,-0.42838284,0.20992348,5.7953153,2.1469953,2.7181721,14,1,1,21
28,-0.57590735,-0.39173979,0.70863891,0.11270094,5.4674292,1.5410507,4.2727842,17,1,1,46
29,0.68514365,-0.70646209,-0.0022803978,0.17743808,2.0976431,2.2464161,1.9512703,6,1,0,3
30,-0.71666664,-0.47215098,-0.5130496,0.015571332,2.1230025,2.0635743,0.9579078,6,1,0,6
31,0,0,0,1,4.1193581,1.2807128,0.095926091,21,1,0,31
32,0.68018126,0.54342419,0.37338382,0.32035634,2.9540002,2.112869,1.6058114,3,1,0,2
33,0.68514365,-0.70646209,-0.0022803978,0.17743808,1.4770917,2.5852025,0.42044246,5,1,0,3
34,0,0,0,1,0.8342129,1.3255926,4.8096037,16,1,0,24
35,0,0,0,1,5.095088,1.4750483,2.3395185,2,1,0,1
36,-0.05308019,0.30226135,-0.71822441,0.62447912,5.7413301,0.62384027,2.2520621,2,1,1,2
37,0.68514365,-0.70646209,-0.0022803978,0.17743808,4.3911343,0.59058976,5.7671394,3,1,0,1
38,-0.075583003,-0.69961554,0.45943615,0.5419814,0.76002294,1.5611454,4.1168509,5,1,0,5
39,0,0,0,1,2.075429,0.47104332,1.3098205,21,1,0,36
40,0.56607926,-0.77311498,-0.244213,0.14902185,3.225713,2.561305,5.1032753,8,1,1,22
41,-0.703417,0.095100351,0.082012013,0.69959599,6.0321074,1.5784755,0.017687902,62,1,1,544
42,0,0,0,1,4.1133909,2.1490192,3.5277805,21,1,0,36
43,-0.25453413,-0.36938381,-0.89360255,0.015572721,2.5208097,0.93037176,0.58593267,14,1,0,10
44,0,0,0,1,5.9533782,1.0438963,1.1136249,1,1,0,1
45,0.037822381,-0.76330876,0.64491892,0.0029801615,0.054131009,1.7397404,3.0967035,28,1,1,90
46,0,0,0,1,2.2177413,2.2661195,2.1422932,2,1,0,1
47,0,0,0,1,0.096705325,1.5845064,6.0889201,7,1,0,6
48,0.25497067,-0.28101921,-0.45362681,0.80637515,2.8200617,0.77840221,4.4879794,1,1,0,1
49,0.68514365,-0.70646209,-0.0022803978,0.17743808,2.0123026,1.6770146,1.3463657,8,1,0,4
50,0.65535259,0.088700779,0.29412311,0.69002658,2.8731954,1.4451759,2.6041341,22,1,1,77
51,-0.65909386,-0.54337233,-0.10585688,0.50905412,0.89448291,2.0480218,5.7987547,6,1,1,5
52,0,0,0,1,4.1346025,0.97944665,0.98514229,6,1,0,9
53,0,0,0,1,5.845017,1.5946485,3.9062197,59,1,0,250
54,0.68514365,-0.70646209,-0.0022803978,0.17743808,0.24062826,0.86054027,3.8322639,20,1,0,24
55,0,0,0,1,6.185185,0.92217708,0.52258462,1,1,0,1
56,-0.31118846,0.90274614,-0.29553083,0.029540749,0.23232988,2.5384865,2.7100081,6,1,1,4
57,0.68514365,-0.70646209,-0.0022803978,0.17743808,2.7693644,1.5519708,1.8286575,7,1,0,13
58,0,0,0,1,0.002831195,1.395311,4.8717527,11,1,0,13
59,-0.085659966,-0.28765234,0.79897863,0.52110618,0.28850311,0.6096701,4.0089517,7,1,0,5
60,0.15528648,0.00063235016,0.93065667,0.33130622,1.9168712,0.31183746,1.9087269,9,1,0,6
61,0.71731305,-0.036837537,-0.23288417,0.65564471,3.4315815,1.6025916,3.5342011,6,1,0,2
62,0.11046906,0.065215573,-0.27502343,0.95284081,3.9558854,0.25727463,2.8892958,4,1,0,1
63,0.68514365,-0.70646209,-0.0022803978,0.17743808,5.2873802,2.1102312,3.7970371,1,1,0,1
64,0.68514365,-0.70646209,-0.0022803978,0.17743808,4.0688486,1.3514174,6.2306862,6,1,0,27
65,0.68514365,-0.70646209,-0.0022803978,0.17743808,2.377667,0.84481984,4.4366393,3,1,0,3
66,0.68514365,-0.70646209,-0.0022803978,0.17743808,3.5677705,1.9373353,0.69106686,1,1,0,1
